AD Link,Price,Car Name,Year,KM Run,Fuel Type,Location,Date,image_url
/ad/renault-kangoo-2002-%D9%86%D9%85%D8%B1%D8%A9-%D8%B3%D9%8A%D8%A7%D8%AD%D9%8A%D8%A9-ID116314840.html,,,,,,,,https://images.dubizzle.com.lb/thumbnails/13751845-400x300.jpeg
/ad/chery-qq-2009-steptronic-good-micanic-need-some-polish-from-out-side-ID115829563.html,"USD 1,000",chery qq 2009 manual good micanic need some polish from out side,2009,200000 km,Benzine,"Deir Qoubel, Aley•",6 days ago,https://images.dubizzle.com.lb/thumbnails/11325546-400x300.jpeg
/ad/audi-a7-30t-quattro-s-line-30l-6-cylinder-2011-european-use-ID115998068.html,"USD 18,000",Audi A7 3.0T quattro S line 3.0l 6 cylinder 2011 European use,2011,95000 km,Benzine,"Jounieh, Keserouan•",6 days ago,https://images.dubizzle.com.lb/thumbnails/12161748-400x300.jpeg
/ad/kia-sportage-2017-ID116351971.html,"USD 16,000",Kia Sportage 2017,2017,100000 km,Benzine,"Choueifat, Aley•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13945219-400x300.jpeg
/ad/hyundai-veloster-2013-ID116351957.html,"USD 6,500",bmw 650i 2006,2006,150000 km,Benzine,"Tyre Town, Tyre•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13954903-400x300.jpeg
/ad/porsche-panamera-2011-ID116227573.html,"USD 18,700",Porsche Panamera 2011,2011,110000 km,Benzine,"Zouk Mosbeh, Keserouan•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13303519-400x300.jpeg
/ad/suzuki-vitara-2017-ID116333745.html,"USD 14,000",Suzuki Vitara 2017,2017,85000 km,Benzine,"Jal El Dib, Metn•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13850709-400x300.jpeg
/ad/porsche-macan-2021-ID116351940.html,"USD 68,000",Porsche Macan 2021,2021,38000 km,Benzine,"Zouk Mosbeh, Keserouan•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13945088-400x300.jpeg
/ad/nissan-versa-2014-ID116266520.html,"USD 8,400",Nissan Versa 2014,2014,140000 km,Benzine,"chehim, Chouf•",6 days ago,https://images.dubizzle.com.lb/thumbnails/13500826-400x300.jpeg
/ad/renault-kangoo-2017-ID116311364.html,"USD 9,700",Renault Kangoo 2017,2017,63000 km,Benzine,"Zouk Mosbeh, Keserouan•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13746555-400x300.jpeg
/ad/chevrolet-cruze-2016-ID116267021.html,"USD 6,300",Chevrolet Cruze 2016,2016,160 km,Benzine,"Abou Samra, Tripoli•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13503444-400x300.jpeg
/ad/%D8%B4%D9%8A%D8%B1%D9%89-%D9%83%D9%8A%D9%88%D9%83%D9%8A%D9%88-2009-ID116170359.html,USD 950,شيرى كيوكيو 2009,2009,22 km,Benzine,"Tal, Tripoli•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13021758-400x300.jpeg
/ad/mercedes-benz-c-class-2017-ID116351912.html,"USD 46,000",Mercedes-Benz C-Class 2017,2017,60000 km,Benzine,"Jnah, Beirut•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13944975-400x300.jpeg
/ad/kia-sportage-2017-ID116286975.html,"USD 14,999",Kia Sportage 2017,2017,90000 km,Benzine,"Aaitat, Aley•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13609148-400x300.jpeg
/ad/mercedes-clk-1999-ID116351906.html,"USD 1,200",Mercedes clk 1999,1999,125000 km,Benzine,"Other in Chouf, Chouf•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13949400-400x300.jpeg
/ad/seat-ibiza-2019-ID116270605.html,"USD 15,000",Seat Ibiza 2019,2019,79000 km,Benzine,"Jal El Dib, Metn•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13520087-400x300.jpeg
/ad/range-rover-sport-v8-autobiography-2018-clean-carfax-highly-specced-ID115994699.html,"USD 68,000","Range Rover Sport V8 Autobiography 2018 , Clean Carfax. Highly Specced",2018,65000 km,Benzine,"Dbaye, Metn•",1 week ago,https://images.dubizzle.com.lb/thumbnails/12144225-400x300.jpeg
/ad/mercedes-g63-amg-2020-tgf-servce-history-special-color-spec-ID116227073.html,"USD 190,000","Mercedes G63 AMG 2020 , Tgf Servce History. Special Color Spec",2020,50000 km,Benzine,"Dbaye, Metn•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13300866-400x300.jpeg
/ad/mercedes-benz-a-a35-amg-2020-ID116311290.html,"USD 46,000",Mercedes-Benz A A35 AMG 2020,2020,28000 km,Benzine,"Furn El Chebbak, Baabda•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13733861-400x300.jpeg
/ad/%D9%86%D9%8A%D8%B3%D8%A7%D9%86-%D8%A7%D9%84%D8%AA%D9%8A%D9%85%D8%A7-2015-ID116351891.html,"USD 8,500",نيسان التيما 2015 بيع او مقايضة على  FX 35 2009 infinity,2015,100000 km,Benzine,"Antelias, Metn•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13944929-400x300.jpeg
/ad/bmw-e70-48-mpackage-ID115097328.html,"USD 12,999",BMW X5 M Package,2010,165000 km,Benzine,"Tyre Town, Tyre•",1 week ago,https://images.dubizzle.com.lb/thumbnails/8135671-400x300.jpeg
/ad/volvo-740-1990-ID116351876.html,"USD 2,000",Volvo 740 1990,1990,200000 km,Benzine,"Ain El Remmaneh, Beirut•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13944818-400x300.jpeg
/ad/suzuki-baleno-1997-ID116271850.html,"USD 3,500",Suzuki Baleno 1997,1997,250000 km,Benzine,"Achrafieh, Beirut•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13526989-400x300.jpeg
/ad/mercedes-benz-e-class-2017-ID116351867.html,"USD 27,500",Mercedes-Benz E-Class 2017,2017,50000 km,Benzine,"Al Maarad, Tripoli•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13944763-400x300.jpeg
/ad/2018-range-rover-vogue-hse-greyblack-ID116267424.html,"USD 56,000",2018 Range Rover Vogue HSE Grey/Black Company Source & Maintenance,2018,120000 km,Benzine,"Achrafieh, Beirut•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13506649-400x300.jpeg
/ad/infiniti-q30-2017-ID116064275.html,"USD 21,500",Infiniti Q30 2017,2017,63000 km,Benzine,"Sahel Alma, Keserouan•",1 week ago,https://images.dubizzle.com.lb/thumbnails/12489158-400x300.jpeg
/ad/mazda-cx-5-2020-awd-low-mileage-ID116305197.html,"USD 25,900",Mazda CX-5 2020 AWD Low mileage,2020,37000 km,Benzine,"Al Zarif, Beirut•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13701397-400x300.jpeg
/ad/mercedes-benz-c-class-2008-ID116351856.html,"USD 9,200",Mercedes-Benz C-Class 2008,2008,New,Benzine,"Nabatiyeh El Faouqa, Nabatieh•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13944701-400x300.jpeg
/ad/mercedes-benz-e-class-2018-ID116265810.html,"USD 31,000",Mercedes-Benz E-Class 2018 4matic clean no accidents jdeede,2018,95000 km,Benzine,"Ras Maska, Koura•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13711550-400x300.jpeg
/ad/hyundai-tucson-2011-ID116351848.html,,"USD 11,000",2011104000 kmBenzine,2011,104000 km,Benzine,"Baouchriye, Metn•",https://images.dubizzle.com.lb/thumbnails/13944655-400x300.jpeg
/ad/mitsubishi-outlander-2009-ID116351832.html,"USD 7,800",Mitsubishi Outlander 2009,2009,150000 km,Benzine,"Tyre Town, Tyre•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13944608-400x300.jpeg
/ad/%D8%B4%D9%8A%D9%81%D8%B1%D9%88%D9%84%D9%8A%D9%87-%D8%A3%D9%81%D9%8A%D9%88-2007-ID116351827.html,"USD 2,200",شيفروليه أفيو 2007,2007,1111 km,Benzine,"Riyaq, Zahle•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13944590-400x300.jpeg
/ad/jeep-grand-cherokee-2017-no-accident-original-paint-ID116216407.html,"USD 25,500",Jeep Grand Cherokee 2017 ( no accident /original paint),2017,80000 km,Benzine,"Zouk Mosbeh, Keserouan•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13498300-400x300.jpeg
/ad/audi-a4-2019-look-rs4-original-company-source-ID116333192.html,"USD 25,000",Audi A4 2019 Look RS4 Original ! Company Source,2019,100000 km,Benzine,"Baabda Town, Baabda•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13848213-400x300.jpeg
/ad/honda-cr-v-2004-ID116331156.html,"USD 6,200",Honda CR-V 2004,2004,New,Benzine,"Choueifat, Aley•",1 week ago,https://images.dubizzle.com.lb/thumbnails/13843150-400x300.jpeg
